[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/css/svg-with-js.css
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/css/svg-with-js.min.css
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.css
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.eot
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.svg
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.ttf
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.woff
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.woff2
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/FontAwesome.otf
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/js/brands.js
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/js/regular.js
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/js/solid.js
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.js
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min.js
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/json/brands.json
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/json/regular.json
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/json/solid.json
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/migration/mapping.js
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.eot
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.svg
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.ttf
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff2
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.eot
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.svg
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.ttf
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.woff
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.woff2
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.eot
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.svg
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.ttf
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.woff
